kappa0,p,a23_r,a23_i,a13,eps_cp,cabibbo,beta_mass,mass_amp,K1_오,K2_미,K3_신,K4_유,K5_술,K6_해,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
0.42,0.5,0.42,0.16,0.28,0.015,0.23,10,8.486357306808962,0.17146428199482247,0.2424871130596428,0.29698484809834996,0.34292856398964494,0.38340579025361626,0.42,4.254452707355579e-08,1.000000000004656,23504785.898103565,23504785.898213018,23504785.897994127,552474960115688.5,14.742312599225896
0.42,2.0,0.42,0.16,0.28,0.015,0.23,12,8.351,0.011666666666666665,0.04666666666666666,0.105,0.18666666666666665,0.2916666666666667,0.42,5.57716589894862e-08,1.0000000000126885,17930253.790523168,17930253.790750667,17930253.79029566,321494000992570.25,14.507172873496225
0.42,0.75,0.42,0.16,0.28,0.015,0.23,10,8.165110211724498,0.10955592060513011,0.18425036181334892,0.24973349415057142,0.30987093751609,0.36632229878723693,0.42,8.08863767323105e-08,1.0000000000092637,12363021.319516512,12363021.319631051,12363021.319401985,152844296146819.94,14.184249236335367
0.42,2.25,0.42,0.16,0.28,0.015,0.23,12,8.13396221973899,0.00745433621620651,0.03545899866374098,0.08829412360164002,0.168672374007171,0.27867081439294034,0.42,8.608553521276883e-08,0.9999999999897812,11616353.403953439,11616353.403834725,11616353.404072145,134939666405540.53,14.130139632168675
0.42,2.5,0.42,0.16,0.28,0.015,0.23,12,7.935105592180102,0.004762896722078401,0.026943012562182532,0.07424621202458749,0.15241269510650884,0.2662540210094558,0.42,1.2813118893207886e-07,1.0000000000258398,7804501.06125286,7804501.061454525,7804501.061051194,60910236815097.01,13.784690288013815
0.42,1.0,0.42,0.16,0.28,0.015,0.23,10,7.874999999999998,0.06999999999999999,0.13999999999999999,0.21,0.27999999999999997,0.35,0.42,1.4449802461092504e-07,1.0000000000020852,6920509.831830553,6920509.831844985,6920509.831816122,47893456332463.35,13.680276179952429
0.42,2.75,0.42,0.16,0.28,0.015,0.23,12,7.752511631617911,0.003043220016809169,0.020472262423705433,0.062433373537642854,0.13772041667381776,0.25439048526891456,0.42,1.8460946129553457e-07,0.9999999999995648,5416840.464092666,5416840.464090305,5416840.464095023,29342160613431.633,13.467492090009737
0.42,1.25,0.42,0.16,0.28,0.015,0.23,10,7.612338810209143,0.044726017297239073,0.10637699599122294,0.17658824720328004,0.2530085610107565,0.33440497727152835,0.42,2.4434672397556407e-07,1.0000000000052456,4092545.1494901413,4092545.1495116046,4092545.1494686734,16748925800615.264,13.223986958607185
0.42,3.0,0.42,0.16,0.28,0.015,0.23,12,7.5845,0.001944444444444444,0.015555555555555552,0.0525,0.12444444444444441,0.2430555555555556,0.42,2.5833723323024006e-07,0.9999999999863438,3870909.305236547,3870909.3051836835,3870909.3052894087,14983938849366.88,13.175625991980855
0.42,3.25,0.42,0.16,0.28,0.015,0.23,12,7.429595889096158,0.0012423893693677517,0.011819666221246992,0.04414706180082001,0.112448249338114,0.2322256786607836,0.42,3.521559293976141e-07,0.9999999999919746,2839651.178699632,2839651.178676845,2839651.178722421,8063618816690.216,12.906529989622182
0.42,0.0,0.42,0.16,0.28,0.015,0.23,8,7.3919999999999995,0.42,0.42,0.42,0.42,0.42,0.42,3.7965609771664237e-07,1.0000000000021254,2633962.699438465,2633962.6994440607,2633962.6994328666,6937759502033.158,12.841219240915349
0.42,1.5,0.42,0.16,0.28,0.015,0.23,10,7.373932861281276,0.028577380332470412,0.08082903768654759,0.14849242404917498,0.2286190426597633,0.31950482521134693,0.42,3.936255648375866e-07,0.9999999999976972,2540485.3986366694,2540485.3986308184,2540485.3986425195,6454066060686.115,12.80983340631806
0.42,3.5,0.42,0.16,0.28,0.015,0.23,12,7.286502137289191,0.0007938161203464001,0.008981004187394177,0.037123106012293745,0.10160846340433921,0.22187835084121313,0.42,4.6884000164705796e-07,0.9999999999996635,2132923.8044683686,2132923.804467653,2132923.804469086,4549363955667.824,12.657950682403785
0.42,1.75,0.42,0.16,0.28,0.015,0.23,10,7.157011466785647,0.018259320100855018,0.061416787271116303,0.12486674707528571,0.20658062501072666,0.30526858232269743,0.42,6.074336209841955e-07,0.9999999999968598,1646270.416148102,1646270.4161429324,1646270.4161532714,2710206283084.445,12.43300234777322
0.42,3.75,0.42,0.16,0.28,0.015,0.23,12,7.154075369179806,0.0005072033361348615,0.006824087474568478,0.031216686768821427,0.0918136111158785,0.21199207105742882,0.42,6.110110832832125e-07,0.9999999999981127,1636631.5233212996,1636631.5233182083,1636631.5233243883,2678562743128.9937,12.427901823819035
0.42,0.25,0.42,0.16,0.28,0.015,0.23,8,7.07440540547001,0.2683561037834344,0.31913098797366884,0.35317649440656007,0.3795128415161348,0.40128597272583405,0.42,7.165550140778241e-07,1.0000000000004516,1395566.2584916241,1395566.2584922514,1395566.2584909939,1947605181840.3066,12.28950092136865
0.42,4.0,0.42,0.16,0.28,0.015,0.23,12,7.031305555555556,0.000324074074074074,0.005185185185185184,0.02625,0.08296296296296295,0.20254629629629634,0.42,7.810621513254184e-07,0.999999999997292,1280307.845288696,1280307.8452852292,1280307.845292163,1639188178707.784,12.214628813413825
0.42,2.0,0.42,0.16,0.28,0.015,0.23,10,6.959166666666667,0.011666666666666665,0.04666666666666666,0.105,0.18666666666666665,0.2916666666666667,0.42,9.022868667695485e-07,0.9999999999949198,1108294.9745021707,1108294.9744965401,1108294.974507801,1228317750506.7668,12.08931072791352
