beta_u,beta_d,theta12,theta23,theta13,J,absJ,Hu,Hd,L12,L23,L13,LJ,LOSS
3.0,1.85,0.0,1.7480893577619506e-15,0.0,0.0,0.0,3.7964608868499763,2.3411508802241525,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.9,0.0,1.4276590760715186e-14,0.0,0.0,0.0,3.7964608868499763,2.4044252283383187,170.0416,5.664399999999932,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,1.9500000000000002,0.0,3.883808235367092e-15,0.0,0.0,0.0,3.7964608868499763,2.467699576452485,170.0416,5.66439999999998,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.0,0.0,1.6392203624658516e-15,0.0,0.0,0.0,3.7964608868499763,2.530973924566651,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.05,0.0,1.1058604001668418e-14,0.0,0.0,0.0,3.7964608868499763,2.5942482726808174,170.0416,5.664399999999946,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.1,0.0,1.6392203624658516e-15,0.0,-0.0,0.0,3.7964608868499763,2.6575226207949836,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.1500000000000004,0.0,1.6392203624658516e-15,0.0,0.0,0.0,3.7964608868499763,2.7207969689091507,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.2,0.0,1.6392203624658512e-15,0.0,0.0,0.0,3.7964608868499763,2.784071317023317,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.25,0.0,5.9937240724457614e-15,0.0,0.0,0.0,3.7964608868499763,2.8473456651374827,170.0416,5.664399999999972,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.3,0.0,7.990853660727795e-15,0.0,0.0,0.0,3.7964608868499763,2.9106200132516484,170.0416,5.6643999999999615,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.35,0.0,1.860777226975059e-15,0.0,0.0,0.0,3.7964608868499763,2.973894361365815,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.4000000000000004,0.0,1.1793737153691525e-14,0.0,0.0,0.0,3.7964608868499763,3.037168709479982,170.0416,5.664399999999943,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,2.45,0.0,1.5121826072772206e-14,0.0,0.0,0.0,3.7964608868499763,3.100443057594148,170.0416,5.664399999999928,0.040401000000000006,649.0837074276884,824.8301084276883
