loc12,loc23,tail,spread,cyclic,tau_align,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,score_ckm,score_pmns,score
0.34,0.22,0.0,0.9,0.1,0.85,0.097747985151935,0.015187488819501173,0.008781855587106925,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.16134638161567075,0.4696048569085019,0.6309512385241727
0.26,0.34,0.03,1.15,0.1,0.1,0.06802811869612221,0.016799184466166277,0.010930567524533022,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.19160326436224454,0.439583080281903,0.6311863446441476
0.34,0.34,0.0,1.15,0.1,0.35,0.09794609193330403,0.01544301113014371,0.010348922081396556,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.16245981901794884,0.46894124713668406,0.6314010661546329
0.26,0.22,0.06,0.9,0.1,0.6,0.06471087879874043,0.025503631995428044,0.01236188825102702,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.18764737745685856,0.4438195856841353,0.6314669631409939
0.34,0.34,0.0,1.15,0.35,0.1,0.09794609193330403,0.01544301113014371,0.010348922081396556,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.16245981901794884,0.46921476453816785,0.6316745835561167
0.26,0.1,0.06,1.15,0.1,0.1,0.0626300347793841,0.02329153970793657,0.0125305540232363,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.19210897953591566,0.439583080281903,0.6316920598178186
0.34,0.34,0.0,0.9,0.1,0.85,0.09794609193330403,0.01544301113014371,0.010348922081396556,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.16245981901794884,0.4696048569085019,0.6320646759264508
0.26,0.22,0.03,1.15,0.1,0.1,0.06698662990111894,0.016142319749491693,0.010159908260575378,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.19253095860996475,0.439583080281903,0.6321140388918678
0.26,0.46,0.06,0.9,0.1,0.6,0.06633630400669113,0.025060993843946142,0.014197175689775354,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.1882998778391381,0.4438195856841353,0.6321194635232734
0.34,0.1,0.0,1.15,0.35,0.35,0.09636396131881927,0.015835020517079065,0.007876227374177508,0.46821359602608187,0.3469738290340504,0.1866142809061453,0.16117724553827917,0.47142685584601307,0.6326041013842922
0.26,0.46,0.03,1.15,0.1,0.1,0.06828414493393227,0.016387261564966248,0.012213857751044395,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.19304245125214586,0.439583080281903,0.6326255315340489
0.34,0.22,0.0,1.15,0.35,0.35,0.097747985151935,0.015187488819501173,0.008781855587106925,0.46821359602608187,0.3469738290340504,0.1866142809061453,0.16134638161567075,0.47142685584601307,0.6327732374616838
0.26,0.22,0.0,0.9,0.1,0.6,0.06918421795626344,0.015258926093410454,0.008488605842507898,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.18954546179283405,0.4438195856841353,0.6333650474769694
0.26,0.1,0.0,0.9,0.1,0.6,0.06740115690543524,0.016420182781036175,0.0079764543816941,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.1896551146952227,0.4438195856841353,0.633474700379358
0.26,0.34,0.0,0.9,0.1,0.6,0.07006507855853998,0.01490844117589225,0.00924784801346166,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.18977432827902943,0.4438195856841353,0.6335939139631648
0.34,0.34,0.0,1.15,0.35,0.35,0.09794609193330403,0.01544301113014371,0.010348922081396556,0.46821359602608187,0.3469738290340504,0.1866142809061453,0.16245981901794884,0.47142685584601307,0.6338866748639619
0.34,0.46,0.0,1.15,0.1,0.35,0.09713397369851194,0.016067934115462885,0.012960626705457673,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.16525871889148286,0.46894124713668406,0.634199966028167
