winding,asym,noise,theta12,theta23,theta13,J,absJ,unitarity_defect,gap34,loss
-12,-0.08,0.0001,4.013626912328393e-14,1.923566724058567e-15,2.4350701123435305e-15,2.3346442351075403e-49,2.3346442351075403e-49,4.447952066705267e-16,1.0719474445033783,3610.668899999997
-12,-0.08,0.0003,2.1370381267115076e-14,6.600565561602089e-16,1.903089876145324e-15,5.473822126268817e-48,5.473822126268817e-48,7.021723368106372e-16,1.0720357145181134,3610.6688999999988
-12,-0.08,0.001,1.1201323768482448e-14,7.014344381085738e-15,2.027202148275604e-15,-2.0526832973508063e-48,2.0526832973508063e-48,1.1000488869329053e-15,1.0724928840935197,3610.6688999999983
-12,-0.08,0.003,2.490572695660698e-15,6.0205767086367256e-15,3.3573892450178015e-15,-1.5752071304014432e-49,1.5752071304014432e-49,5.865226040776843e-16,1.0701472494123832,3610.668899999999
-12,-0.07,0.0,1.962059456188881e-14,2.1493465508430556e-14,1.436292855556148e-14,1.3684555315672042e-48,1.3684555315672042e-48,1.657645905349981e-15,1.0632776037239215,3610.6688999999965
-12,-0.07,0.0001,4.4905436554843137e-14,1.4827518518526648e-15,5.770146369220376e-15,2.7369110631344083e-48,2.7369110631344083e-48,1.6012468484724838e-15,1.0633847280518707,3610.668899999997
-12,-0.07,0.0003,4.3117887648289e-15,5.225051683033673e-15,5.8798931073292455e-15,2.1382117680737565e-49,2.1382117680737565e-49,1.0150603196545039e-15,1.0634022871442854,3610.6688999999988
-12,-0.07,0.001,2.85115756503642e-14,1.7254821116030577e-15,4.899861084252812e-15,-5.473822126268817e-48,5.473822126268817e-48,1.6012111567001712e-15,1.0637243412699475,3610.668899999998
-12,-0.07,0.003,1.9505030553372655e-14,1.0594326610870673e-14,5.754093005502609e-15,0.0,0.0,4.932439279883329e-16,1.0617803474261447,3610.668899999998
-12,-0.060000000000000005,0.0,1.7095033863506766e-14,9.252847581146515e-15,2.7607224140732727e-30,0.0,0.0,1.436190124687661e-15,1.0540945295266684,3610.6688999999983
-12,-0.060000000000000005,0.0001,2.9652128068898877e-15,8.487706597341668e-15,4.329975230147282e-15,-4.276423536147513e-49,4.276423536147513e-49,6.49691630418443e-16,1.0541995875297925,3610.668899999999
-12,-0.060000000000000005,0.0003,1.0295495080657132e-14,3.58017716534567e-15,2.318926451720958e-14,-9.579188720970429e-48,9.579188720970429e-48,2.38637057722908e-16,1.0541166060257892,3610.6688999999983
-12,-0.060000000000000005,0.001,1.2303057045501442e-14,3.015907236676188e-15,8.632510960567743e-15,6.842277657836021e-49,6.842277657836021e-49,9.93992669267821e-16,1.0549118234484278,3610.668899999999
-12,-0.060000000000000005,0.003,2.881579660606581e-14,7.708339851974316e-16,3.2176844070183447e-15,-2.7369110631344083e-48,2.7369110631344083e-48,4.979128637374717e-16,1.0494431779031246,3610.668899999998
-12,-0.05,0.0,8.04377425286656e-15,1.1710409398589561e-14,9.359856832712823e-15,0.0,0.0,7.521521398716948e-16,1.0446461634658673,3610.6688999999983
-12,-0.05,0.0001,5.932904215297036e-15,4.70121830293473e-15,3.668593181085992e-15,0.0,0.0,8.045258756536234e-16,1.0445693027562548,3610.6688999999988
-12,-0.05,0.0003,8.663905113284566e-15,1.6218932570201896e-15,4.376536433302846e-15,-3.4211388289180104e-49,3.4211388289180104e-49,5.770897537123399e-16,1.0446312369818325,3610.6688999999997
-12,-0.05,0.001,4.555445459036277e-15,7.074424655230303e-15,7.202791703612953e-16,-3.4211388289180104e-49,3.4211388289180104e-49,8.427416163038553e-16,1.043781110074852,3610.6688999999988
-12,-0.05,0.003,8.664377543275996e-15,3.3230336986972865e-15,1.088857653552421e-14,1.0263416486754031e-48,1.0263416486754031e-48,5.551181234839289e-16,1.0480380068437216,3610.6688999999997
-12,-0.04000000000000001,0.0,3.0506556458731575e-15,8.272585106007752e-15,1.9360917685910573e-15,0.0,0.0,6.031368984147851e-16,1.0351594259879517,3610.668899999999
-12,-0.04000000000000001,0.0001,4.823401886487141e-15,1.082485432249057e-14,2.1761805723100195e-14,9.579188720970429e-48,9.579188720970429e-48,7.71643988261943e-16,1.035118550317444,3610.668899999998
